Model_ID,MT-bench (score),Arena Elo rating,size_type
WizardLM/WizardLM-30B-V1.0,7.01,-,30B
lmsys/vicuna-13b-v1.5-16k,6.92,-,13B
WizardLM/WizardLM-13B-V1.1,6.76,-,13B
allenai/tulu-30b,6.43,-,30B
timdettmers/guanaco-65b-merged,6.41,-,other
OpenAssistant/oasst-sft-6-llama-30b-xor,6.41,-,30B
WizardLM/WizardLM-13B-V1.0,6.35,-,13B
lmsys/vicuna-7b-v1.5-16k,6.22,-,7B
project-baize/baize-v2-13b,5.75,-,13B
Salesforce/xgen-7b-8k-inst,5.55,-,7B
NousResearch/Nous-Hermes-13b,5.51,-,13B
mosaicml/mpt-30b-instruct,5.22,-,30B
tiiuae/falcon-40b-instruct,5.17,-,other
h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-13b,4.63,-,13B
GPT-4-Turbo,9.32,1243,other
GPT-4-0314,8.96,1192,other
Claude-1,7.90,1149,other
GPT-4-0613,9.18,1158,other
Claude-2.0,8.06,1131,other
Claude-2.1,8.18,1117,other
GPT-3.5-Turbo-0613,8.39,1117,other
mistralai/Mixtral-8x7B-Instruct-v0.1,8.30,1121,70B
Claude-Instant-1,7.85,1110,other
GPT-3.5-Turbo-0314,7.94,1105,other
allenai/tulu-2-dpo-70b,7.89,1110,other
01-ai/Yi-34B-Chat,-,1110,30B
Gemini Pro,-,1111,other
WizardLM/WizardLM-70B-V1.0,7.71,1102,70B
lmsys/vicuna-33b-v1.3,7.12,1095,30B
berkeley-nest/Starling-LM-7B-alpha,8.09,1089,7B
pplx-70b-online,-,1075,other
openchat/openchat_3.5,7.81,1077,7B
teknium/OpenHermes-2.5-Mistral-7B,-,1074,7B
GPT-3.5-Turbo-1106,8.32,1074,other
meta-llama/Llama-2-70b-chat-hf,6.86,1077,70B
upstage/SOLAR-10.7B-Instruct-v1.0,7.58,1062,13B
ehartford/dolphin-2.2.1-mistral-7b,-,1059,7B
WizardLM/WizardLM-13B-V1.2,7.20,1057,13B
HuggingFaceH4/zephyr-7b-beta,7.34,1049,7B
mosaicml/mpt-30b-chat,6.39,1042,30B
lmsys/vicuna-13b-v1.5,6.57,1041,13B
Qwen/Qwen-14B-Chat,6.96,1041,other
HuggingFaceH4/zephyr-7b-alpha,6.88,1038,7B
codellama/CodeLlama-34b-Instruct-hf,-,1039,30B
tiiuae/falcon-180B-chat,-,1035,other
timdettmers/guanaco-33b-merged,6.53,1031,other
meta-llama/Llama-2-13b-chat-hf,6.65,1033,13B
mistralai/Mistral-7B-Instruct-v0.1,6.84,1023,7B
pplx-7b-online,-,1033,other
meta-llama/Llama-2-7b-chat-hf,6.27,1016,7B
lmsys/vicuna-7b-v1.5,6.17,1004,7B
PaLM-Chat-Bison-001,6.40,1004,other
TheBloke/koala-13B-HF,5.35,965,13B
THUDM/chatglm3-6b,-,959,6B
nomic-ai/gpt4all-13b-snoozy,5.41,937,13B
mosaicml/mpt-7b-chat,5.42,930,7B
THUDM/chatglm2-6b,4.96,928,6B
BlinkDL/rwkv-4-raven,3.98,924,1B
Alpaca-13B,4.53,904,other
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,4.32,896,13B
THUDM/chatglm-6b,4.50,882,6B
lmsys/fastchat-t5-3b-v1.0,3.04,873,3B
stabilityai/stablelm-tuned-alpha-7b,2.75,844,7B
databricks/dolly-v2-12b,3.28,822,13B
llama-30b,2.61,800,30B
